CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Oropeza,1,Sucre,1204,Arabate,52,Escuela Arabate,1000197,1,107,62,2,16,80,62,80
1,Oropeza,1,Sucre,1205,Chaunaca,53,Escuela Seccional De Chaunaca,1000207,1,248,162,11,45,218,162,218
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000217,1,240,166,14,23,203,166,203
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000227,2,240,146,16,28,190,146,190
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000237,3,82,49,3,20,72,49,72
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000247,1,240,143,19,34,196,143,196
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000257,2,240,150,16,29,195,150,195
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000267,3,259,149,17,43,209,149,209
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000277,1,240,124,21,38,183,124,183
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000287,2,40,26,4,5,35,26,35
1,Oropeza,1,Sucre,1218,Punilla,58,Escuela Punilla,1000297,1,258,157,21,46,224,157,224
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000307,1,240,135,19,45,199,135,199
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000317,2,240,139,16,38,193,139,193
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000327,3,197,133,19,16,168,133,168
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000337,1,240,151,14,44,209,151,209
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000347,2,25,17,1,4,22,17,22
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000357,1,240,141,15,42,198,141,198
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000367,2,240,138,16,34,188,138,188
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000377,3,165,114,13,18,145,114,145
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000387,1,240,140,22,32,194,140,194
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000397,2,240,139,20,38,197,139,197
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000407,3,240,142,22,38,202,142,202
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000417,4,219,122,26,33,181,122,181
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000427,1,240,138,27,48,213,138,213
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000437,2,240,118,19,54,191,118,191
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000447,3,88,52,15,12,79,52,79
1,Oropeza,1,Sucre,1230,Maragua,65,Colegio 24 de Septiembre   Maragua,1000457,1,240,147,17,41,205,147,205
1,Oropeza,1,Sucre,1230,Maragua,65,Colegio 24 de Septiembre   Maragua,1000467,2,24,12,1,9,22,12,22
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001097,1,240,191,8,8,207,191,207
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001107,2,240,178,3,20,201,178,201
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001117,3,240,191,7,12,210,191,210
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001127,4,240,192,8,9,209,192,209
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001137,5,134,109,4,4,117,109,117
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000637,1,240,196,8,10,214,196,214
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000647,2,244,195,6,16,217,195,217
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000827,1,240,188,7,13,208,188,208
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000837,2,240,175,3,23,201,175,201
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000847,3,240,194,4,17,215,194,215
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000857,4,240,190,3,11,204,190,204
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000867,5,240,188,5,14,207,188,207
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000877,6,240,169,2,25,196,169,196
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000887,7,258,199,5,18,222,199,222
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004727,1,240,203,2,13,218,203,218
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004737,2,240,186,3,16,205,186,205
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004747,3,240,195,3,17,215,195,215
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004757,4,240,198,9,9,216,198,216
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004767,5,240,199,4,8,211,199,211
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004777,6,240,183,4,13,200,183,200
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004787,7,240,181,6,18,205,181,205
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004797,8,240,183,11,14,208,183,208
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004807,9,240,182,14,19,215,182,215
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004817,10,240,195,2,10,207,195,207
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004827,11,240,182,5,23,210,182,210
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004837,12,240,194,5,20,219,194,219
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004847,13,240,202,3,11,216,202,216
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004857,14,240,187,6,20,213,187,213
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004867,15,221,172,9,12,193,172,193
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008517,1,240,167,15,19,201,167,201
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008527,2,240,167,17,18,202,167,202
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008537,3,240,168,15,19,202,168,202
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008547,4,240,144,12,40,196,144,196
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008557,5,240,176,10,20,206,176,206
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008567,6,240,161,17,24,202,161,202
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008577,7,240,152,17,28,197,152,197
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008587,8,240,156,16,24,196,156,196
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008597,9,240,166,15,26,207,166,207
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008607,10,240,154,15,25,194,154,194
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008617,11,191,122,5,17,144,122,144
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005277,1,240,178,9,17,204,178,204
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005287,2,240,170,14,23,207,170,207
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005297,3,240,175,5,19,199,175,199
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005307,4,240,165,8,26,199,165,199
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005317,5,240,181,6,21,208,181,208
