CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,240,112,74,13,199,112,199
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,240,130,72,5,207,130,207
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,240,114,76,14,204,114,204
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,240,115,76,7,198,115,198
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,240,101,84,17,202,101,202
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,240,104,80,9,193,104,193
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,240,99,86,10,195,99,195
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,240,103,86,8,197,103,197
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,240,103,88,9,200,103,200
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,240,120,69,17,206,120,206
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,240,114,75,3,192,114,192
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,209,98,72,12,182,98,182
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,240,108,83,8,199,108,199
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,64,31,14,0,45,31,45
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,256,82,115,9,206,82,206
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,240,76,108,9,193,76,193
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,73,29,26,2,57,29,57
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,240,60,135,3,198,60,198
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000191,2,65,22,31,1,54,22,54
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000201,1,240,68,133,3,204,68,204
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000211,2,93,29,38,3,70,29,70
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000221,1,240,78,106,8,192,78,192
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000231,2,43,13,20,0,33,13,33
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000241,1,155,44,83,1,128,44,128
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000251,1,208,74,95,7,176,74,176
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000261,1,176,53,83,7,143,53,143
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000271,1,240,97,96,12,205,97,205
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000281,2,240,94,100,6,200,94,200
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000291,3,112,48,48,6,102,48,102
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000301,1,221,42,148,12,202,42,202
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000311,1,240,90,106,13,209,90,209
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000321,2,240,109,84,6,199,109,199
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000331,3,240,117,74,12,203,117,203
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000341,4,240,113,87,5,205,113,205
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000351,5,240,108,100,13,221,108,221
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000361,6,86,46,37,0,83,46,83
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000371,1,240,78,98,14,190,78,190
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000381,2,240,76,99,12,187,76,187
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000391,3,240,82,92,10,184,82,184
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000401,4,142,46,51,4,101,46,101
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000411,1,240,84,97,12,193,84,193
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000421,2,156,53,72,13,138,53,138
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000431,1,240,100,86,6,192,100,192
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000441,2,245,84,102,10,196,84,196
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000451,1,240,98,72,4,174,98,174
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000461,2,208,70,78,5,153,70,153
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000471,1,240,82,100,6,188,82,188
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000481,2,240,83,87,14,184,83,184
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000491,3,240,72,111,9,192,72,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000501,4,240,70,101,24,195,70,195
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000511,5,240,78,93,12,183,78,183
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000521,6,240,77,95,20,192,77,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000531,7,240,68,88,35,191,68,191
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000541,8,23,7,10,0,17,7,17
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000551,1,240,118,85,8,211,118,211
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000561,2,240,87,95,15,197,87,197
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000571,3,240,95,95,10,200,95,200
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000581,4,240,85,98,20,203,85,203
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000591,5,240,104,91,13,208,104,208
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000601,6,240,94,107,6,207,94,207
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000611,7,254,94,106,18,218,94,218
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000621,1,240,63,114,11,188,63,188
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000631,2,240,72,102,15,189,72,189
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000641,3,33,9,17,2,28,9,28
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000651,1,240,71,108,8,187,71,187
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000661,2,171,54,72,3,129,54,129
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000821,1,240,157,32,11,200,157,200
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000831,2,240,164,30,5,199,164,199
